,Gender,Dependents,Education,Self_Employed,Credit_History,Property_Area,Loan_Status,value_no
1,1,1,1,-1,1.0,-1,-1,12.8896875
2,1,0,1,1,1.0,1,1,16.3636363636
3,1,0,-1,-1,1.0,1,1,7.749
4,1,0,1,-1,1.0,1,1,15.3191489362
5,1,2,1,1,1.0,1,1,7.30382022472
6,1,0,-1,-1,1.0,1,1,8.84084210526
7,1,3,1,-1,0.0,0,-1,6.91746835443
8,1,2,1,-1,1.0,1,1,8.58428571429
9,1,1,1,-1,1.0,0,-1,13.245730659
10,1,2,1,-1,1.0,1,1,16.4571428571
11,1,2,1,-1,1.0,1,1,8.25688073394
12,1,2,1,-1,1.0,1,1,5.5314
13,1,0,1,-1,1.0,-1,-1,5.85157894737
14,1,2,1,-1,1.0,1,1,9.16941176471
15,1,0,1,-1,1.0,1,1,14.256
16,1,1,-1,-1,-1.0,1,1,8.6304
17,-1,0,1,-1,0.0,1,-1,16.6263157895
18,1,0,-1,-1,1.0,-1,-1,13.2279699248
20,1,0,-1,-1,0.0,1,-1,26.5153846154
21,1,1,1,-1,1.0,1,1,6.80571428571
22,1,0,-1,-1,0.0,0,-1,8.06896551724
23,1,2,-1,-1,0.0,-1,-1,10.8160714286
24,1,1,1,-1,-1.0,0,-1,8.8617218543
25,1,0,1,1,1.0,0,1,18.0188481675
26,1,0,1,-1,1.0,0,1,8.2593442623
27,1,2,-1,-1,1.0,1,1,13.8305454545
28,1,0,-1,-1,1.0,1,-1,14.832
29,-1,2,1,-1,1.0,0,1,11.25
30,1,1,1,-1,-1.0,1,-1,7.46149253731
31,1,0,1,-1,1.0,1,-1,15.407027027
32,1,1,1,1,1.0,-1,-1,15.9350943396
33,1,0,1,-1,1.0,0,1,11.0526315789
34,1,3,1,-1,1.0,-1,-1,14.0625
37,-1,0,1,-1,1.0,0,1,9.1675
38,1,0,1,-1,1.0,1,1,8.15086956522
39,1,0,-1,-1,1.0,0,1,12.2661818182
40,1,0,1,-1,1.0,1,-1,16.2
41,1,0,1,-1,1.0,1,1,13.7872340426
42,1,0,1,-1,-1.0,1,1,11.52
43,1,0,1,-1,1.0,0,1,10.587761194
46,1,1,1,-1,1.0,1,1,46.2190909091
47,1,0,1,-1,1.0,1,1,14.5525
48,-1,0,1,-1,0.0,1,-1,7.935
49,-1,0,1,-1,1.0,0,1,10.0
50,-1,0,-1,-1,1.0,0,1,6.9408
51,-1,0,1,-1,1.0,0,1,9.258
52,-1,0,1,-1,1.0,0,-1,13.5964285714
53,1,2,1,-1,1.0,1,-1,12.4011940299
54,-1,1,1,1,0.0,1,-1,14.4755244755
55,1,2,1,-1,1.0,0,1,10.0503092784
56,1,0,1,-1,1.0,0,1,7.995
57,1,0,1,-1,1.0,-1,-1,8.976
58,1,1,1,-1,1.0,1,1,16.16
59,1,2,-1,-1,1.0,1,1,8.3925
60,1,0,1,-1,1.0,1,1,7.5
61,1,3,1,-1,1.0,1,1,11.0145454545
