Asset,Cluster
X1,1
X2,6
X3,11
X4,5
X5,1
X6,5
X7,6
X8,6
X9,5
X10,6
X11,6
X12,6
X13,5
X14,6
X15,6
X16,12
X17,4
X18,4
X19,4
X20,6
X21,4
X22,5
X23,6
X24,4
X25,5
X26,2
X27,2
X28,6
X29,4
X30,6
X31,6
X32,2
X33,12
X34,8
X35,5
X36,8
X37,9
X38,6
X39,1
X40,6
X41,4
X42,4
X43,12
X44,11
X45,1
X46,1
X47,3
X48,1
X49,2
X50,4
X51,6
X52,10
X53,2
X54,11
X55,6
X56,7
X57,6
X58,7
X59,1
X60,4
X61,6
X62,6
X63,2
X64,6
X65,10
X66,6
X67,6
X68,10
X69,2
X70,6
X71,2
X72,4
X73,4
X74,1
X75,5
X76,12
X77,8
X78,2
X79,11
X80,5
X81,6
X82,3
X83,5
X84,1
X85,2
X86,2
X87,10
X88,10
X89,5
X90,10
X91,6
X92,6
X93,5
X94,7
X95,10
X96,10
X97,4
X98,12
X99,9
X100,4
