Asset,Cluster
X1,3
X2,1
X3,6
X4,3
X5,3
X6,3
X7,8
X8,10
X9,3
X10,4
X11,4
X12,1
X13,5
X14,11
X15,3
X16,6
X17,4
X18,4
X19,12
X20,11
X21,3
X22,3
X23,6
X24,12
X25,9
X26,3
X27,3
X28,9
X29,1
X30,4
X31,1
X32,3
X33,6
X34,5
X35,3
X36,3
X37,4
X38,3
X39,3
X40,11
X41,6
X42,3
X43,5
X44,3
X45,3
X46,3
X47,3
X48,3
X49,3
X50,3
X51,3
X52,3
X53,3
X54,7
X55,3
X56,3
X57,3
X58,3
X59,3
X60,10
X61,9
X62,4
X63,5
X64,4
X65,3
X66,2
X67,4
X68,3
X69,6
X70,8
X71,3
X72,12
X73,12
X74,3
X75,5
X76,6
X77,3
X78,5
X79,3
X80,3
X81,3
X82,6
X83,3
X84,3
X85,3
X86,5
X87,3
X88,3
X89,3
X90,3
X91,11
X92,4
X93,3
X94,4
X95,3
X96,3
X97,1
X98,6
X99,3
X100,10
