"Outcome","JA_SCORE","FR_SCORE","BWA_SCORE","GESAMT_SCORE","krf","PD","Ertrag_marge","start_EAD","LGD_rest_Ecosfera_avg","LGD_12_Ecosfera","bonitaetsindex","std_krediturteil","VC_umsatz","default","v_verlust_aug","verlust","A_FLAG_NEUGESCHAEFT","EIP_BLANKO","EIP_PBLANKO","EIP_BSG","EIP_PBSG","EIP_GESAMTENGA","EIP_PROTONEUENGA","EIP_PROTONEUSICHERHEITEN","EIP_EWB","V_VOTIERUNGSDATUM","SRK_LGD_rest_Ecosfera_avg","SRK_LGD_12_Ecosfera"
1,0.00786,0.05237,0,0.03332,"3-",0.0101,6120.59,80900,0.25753,0.30105,213,31,1700000,0,0,0,1,38738.48,40450,0.8683,0.7931,294153.84,80900,40450,0,"15MAR2017:10:14:07.418000",0.002601,0.003041
1,0.07069,0.17509,0.01061,0.03648,"6+",0.0473,1677.88,81000,0.03153,0.04074,247,11,9e+05,0,0,0,1,37365.14,0,0.8914,0,344103.32,81000,56700,0,"16NOV2011:15:26:09.448000",0.001491,0.001927
1,0.0135,0.0139,0.00477,0.01138,"3-",0.0101,0,0,0,0,210,31,2500000,0,0,0,0,0,0,1.1685,1.1685,1e+06,0,0,0,"21FEB2017:13:36:58.281000",0,0
1,0.08188,0.17536,0.14119,0.1319,"7+",0.1101,27.09,76500,0.03909,0.04883,254,21,6e+06,0,0,0,1,160096.47,160096.47,0.7297,0.7103,592391.51,76500,63750,0,"03JUL2013:15:08:51.257000",0.004304,0.005377
1,0.00849,0.05642,0.08366,0.08374,"6+",0.0473,32727.5,1036000,0.0061,0.0061,268,21,1.1e+07,0,0,0,1,520085.31,0,0.8695,1,3985363.16,1036000,787150,0,"16MAY2013:17:39:54.766000",0.000289,0.000289
1,0.04114,0.09471,0.03179,0.05853,"7+",0.1101,2762.63,55000,0.02855,0.0398,197,31,2800000,0,0,0,1,6400,0,0.983,0,376882.02,55000,54000,0,"19MAR2015:17:16:49.317000",0.003143,0.004382
1,0.01246,0.18769,0.10426,0.04068,"6",0.0628,2494.15,82000,0.03135,0.04058,168,0,5e+06,0,0,0,1,66342.16,0,0.8851,0,577149.29,82000,57400,0,"08JUL2011:09:35:32.227000",0.001969,0.002548
1,0.00428,0.07985,0.12281,0.10348,"6",0.0628,899.89,25000,0.01624,0.02142,220,21,290000,0,0,0,1,70860.2,0,0.9629,1.1214,1909888.81,25000,24000,0,"06APR2011:18:00:55.315000",0.00102,0.001345
1,0.10614,0.01913,0.0274,0.08297,"5-",0.0359,0,0,0,0,266,1,2e+07,0,0,0,0,647734.75,0,0.6426,0,1812314.33,0,0,0,"23JUN2016:10:59:18.001000",0,0
1,0.05414,0.16971,0.03974,0.03889,"6+",0.0473,3385.03,335000,0.03167,0.03478,201,21,650000,0,0,0,1,88994.78,88994.78,0.7967,0.7967,437722.41,335000,251250,0,"18MAR2013:10:49:28.279000",0.001498,0.001645
