S.No,Outcome,JA_SCORE,FR_SCORE,BWA_SCORE,GESAMT_SCORE,krf,PD,Ertrag_marge,start_EAD,LGD_rest_Ecosfera_avg,LGD_12_Ecosfera,bonitaetsindex,std_krediturteil,VC_umsatz,default,v_verlust_aug,verlust,A_FLAG_NEUGESCHAEFT,EIP_BLANKO,EIP_PBLANKO,EIP_BSG,EIP_PBSG,EIP_GESAMTENGA,EIP_PROTONEUENGA,EIP_PROTONEUSICHERHEITEN,EIP_EWB,V_VOTIERUNGSDATUM,SRK_LGD_rest_Ecosfera_avg,SRK_LGD_12_Ecosfera
4025,1,0.08636,0.06065,0.12565,0.04576,6,0.0628,3147.89,97360.94,0.25666,0.28737,188,41,38000000,0,0,0,1,926896.52,1015494.98,0.0087,0.0164,1300000,97360.94,9736.09,0,24MAR2014:13:57:22.859000,0.016119,0.018047
3328,1,0.03031,0.02178,0.03006,0.02709,5,0.0276,30413.31,864000,0.03786,0.06741,207,31,1900000,0,0,0,1,0,96005.3,1.1335,0.9386,1635849.97,0,0,0,17DEC2015:10:57:44.809000,0.001045,0.001861
3152,1,0.01203,0.12523,0.01584,0.05491,7+,0.1101,9214,210000,0.17704,0.21583,294,31,3250000,0,0,0,1,31817.53,31817.53,0.9181,0.9181,388547.03,210000,147000,0,07MAY2014:10:22:17.362000,0.019492,0.023763
6879,1,0.0628,0.07029,0,0.04874,6-,0.0834,0,0,0,0,168,11,0,0,0,0,0,0,0,0,0,740000,0,0,0,30DEC2015:09:58:32.782000,0,0
2952,1,0.00994,0.12523,0.01851,0.05483,7+,0.1101,715.21,21700,0.02809,0.01584,272,31,450000,0,0,0,1,72114.49,28879.54,0.782,0.6742,330827.07,21700,13801.2,0,27SEP2012:09:33:57.120000,0.003093,0.001744
8166,1,0.04706,0.20237,0.08103,0.02,4-,0.0174,898.11,46500,0.0288,0.03154,201,11,17500000,0,0,0,1,53835.16,48033.73,0.7989,0.8166,267758.54,46500,30225,0,15DEC2011:11:11:26.088000,0.000501,0.000549
6975,1,0.01571,0.0438,0.03281,0.01502,4+,0.012,9310.79,205000,0.12117,0.16192,211,21,2933500,0,0,0,1,94968.25,0,0.7433,0,370026.75,205000,153750,0,04AUG2016:15:16:37.741000,0.001454,0.001943
3549,1,0.01931,0.07985,0.10938,0.03668,6+,0.0473,0,0,0,0,281,41,1600000,0,0,0,1,214780.81,238096.59,0.86,0.8448,1534031.88,412400,216510,0,18JUN2010:11:33:56.315000,0,0
6194,1,0.00313,0.19488,0.14559,0.04353,6,0.0628,0,0,0,0,168,0,2596207.24,0,0,0,1,51960.71,0,0.781,0,267266.79,200000,130000,0,14JUN2010:13:44:01.932000,0,0
8550,1,0.01842,0.28256,0.04551,0.05052,6-,0.0834,0,249500,0.18255,0.22043,225,21,0,0,0,0,1,171723.52,171723.52,0.6631,0.6631,509784.66,249500,162175,0,18MAR2015:14:20:40.277000,0.015225,0.018384
