X-One Reference,Amount,Currency,Buy/Sell,Instrument Name,Product Price,Maturity Date,Trade Date,Option Type,Strike,Broker Fees,Broker Fees Ccy,Underlying Name
ELI-975159584,184000,KRW,Buy,EquityFuture,184000,42992,42964,,,73.6,KRW,036490.KQ
ELI-962384133,134010,SGD,Sell,EquityFuture,357.36,42947,42913,,,0,SGD,MSCI-SIN
ELI-962323609,178750,SGD,Buy,EquityFuture,357.5,42916,42913,,,0,SGD,MSCI-SIN
ELI-948923819,2788.04,AUD,Buy,EquitySecurity,11.06365079,,42859,,,0.11430964,AUD,SEV.AX
ELI-946416395,30219,HKD,Sell,EquityFuture,10073,42852,42849,,,12,HKD,HSCE
ELI-936516469,9743,TWD,Buy,EquityFuture,9743,42844,42808,,,0,TWD,TWII
ELI-934877974,237605.96,AUD,Buy,EquitySecurity,6.98368633,,42801,,,9.74184436,AUD,ILU.AX
ELI-932680968,2490,EUR,Buy,EquityListedOption,0.83,42874,42790,P,16.5,0,EUR,DEUTSCHE-BANK_X
ELI-922944471,3100,EUR,Buy,EquityListedOption,1.24,43084,42748,C,16,0,EUR,DT-TELEKOM_X
ELI-922944470,3700,EUR,Buy,EquityListedOption,1.48,43084,42748,P,16,0,EUR,DT-TELEKOM_X
ELI-922247757,2112.5,EUR,Sell,EquityListedOption,8.45,43084,42746,P,100,0,EUR,MICHELIN_X
ELI-910832142,405750,KRW,Buy,EquityFuture,27050,42712,42698,,,162.3,KRW,34020.KS
ELI-909367052,2757600,JPY,Sell,EquitySecurity,950.8965517,,42692,,,,,3048.Q
ELI-909354152,235150,JPY,,EquitySecurity,2351.5,,42692,,,0,,8113.T
ELI-902372512,878010,KRW,Sell,EquityFuture,7770,42684,42669,,,351.204,KRW,06800.KS
ELI-899335712,1320,EUR,Buy,EquitySecurity,0.12,42664,42656,,,,,DAX_X
ELI-897639982,7200,HKD,,EquitySecurity,3.6,,42649,,,0,,3323.HK
ELI-895157282,719900,HUF,Sell,EquitySecurity,7199,,42640,,,,,OTPB.BU
ELI-888062542,2357850,JPY,,EquitySecurity,2143.5,,42612,,,0,,8058.T
ELI-886025904,2850,EUR,Buy,EquityListedOption,1.9,43266,42601,C,16,0,EUR,RWE_X
ELI-880788162,8286,SEK,Sell,EquityFuture,1381,42601,42579,,,0,SEK,OMX
ELI-880367742,1995.4,CHF,Buy,EquitySecurity,45.35,,42578,,,,,VONTOBEL
ELI-877935312,8448,CHF,Buy,EquitySecurity,2112,,42569,,,,,GIVAUDAN
ELI-873915902,2086.75,USD,Buy,EquityFuture,2086.75,42629,42552,,,0,USD,SP500
ELI-872258805,2250,EUR,Buy,EquityListedOption,0.45,42720,42548,P,8,0,EUR,DEUTSCHE-BANK_X
