,Loan_ID,Gender,Dependents,Education,Self_Employed,Credit_History,Property_Area,value_no
0,LP001015,1,0,1,-1,1.0,1,18.72
1,LP001022,1,1,1,-1,1.0,1,8.78857142857
2,LP001031,1,2,1,-1,1.0,1,8.65384615385
3,LP001035,1,2,1,-1,-1.0,1,8.424
4,LP001051,1,0,-1,-1,1.0,1,15.12
5,LP001054,1,0,-1,1,1.0,1,5.12763157895
6,LP001055,-1,1,-1,-1,1.0,0,13.5823728814
7,LP001056,1,2,-1,-1,0.0,-1,9.50448979592
8,LP001059,1,2,1,-1,1.0,1,11.6854285714
9,LP001067,1,0,-1,-1,1.0,0,7.0243902439
10,LP001078,1,0,-1,-1,1.0,1,12.364
11,LP001082,1,1,1,-1,1.0,0,4.85555555556
12,LP001083,1,3,1,-1,-1.0,1,18.747
13,LP001094,1,2,1,-1,0.0,0,26.3992771084
14,LP001096,-1,0,1,-1,1.0,0,13.5464516129
15,LP001099,1,1,1,-1,1.0,1,15.5734351145
16,LP001105,1,2,1,-1,1.0,1,8.2494
17,LP001107,1,3,1,-1,1.0,0,10.8171428571
18,LP001108,1,0,1,-1,1.0,1,11.0712
19,LP001115,1,0,1,-1,1.0,0,2.34
20,LP001121,1,1,-1,-1,1.0,1,14.16
21,LP001124,-1,3,-1,-1,1.0,1,13.3907142857
22,LP001128,1,0,1,-1,1.0,1,13.9330693069
23,LP001135,-1,0,-1,-1,1.0,1,10.8432
24,LP001149,1,0,1,-1,1.0,1,6.70344827586
25,LP001153,1,0,1,-1,0.0,-1,0.0
26,LP001163,1,2,1,-1,-1.0,1,11.2191428571
27,LP001169,1,0,1,-1,1.0,1,9.81818181818
28,LP001174,1,0,1,-1,-1.0,0,23.8231578947
29,LP001176,1,0,1,-1,1.0,1,4.23648
30,LP001177,-1,0,-1,-1,1.0,0,11.8944
31,LP001183,1,2,1,-1,1.0,1,11.71875
32,LP001185,1,0,1,-1,1.0,0,7.74
33,LP001187,1,0,1,-1,1.0,1,6.34101265823
34,LP001190,1,0,1,-1,1.0,1,9.76633663366
35,LP001203,1,0,1,-1,0.0,0,6.44318181818
36,LP001208,1,2,1,-1,1.0,1,7.15135135135
37,LP001210,1,0,1,1,1.0,1,9.068
38,LP001211,1,0,1,1,1.0,1,18.1024137931
39,LP001219,1,0,1,-1,1.0,1,9.50347826087
40,LP001220,1,0,1,-1,1.0,1,20.2644
41,LP001221,-1,0,1,-1,1.0,1,11.9258181818
42,LP001226,1,0,-1,-1,1.0,0,7.0
43,LP001230,1,0,1,-1,1.0,0,11.7
44,LP001231,-1,0,1,-1,1.0,1,15.7114285714
45,LP001232,1,0,1,-1,-1.0,1,-0.023027027027
46,LP001237,1,-1,-1,-1,1.0,1,9.25111111111
47,LP001242,1,0,-1,-1,1.0,0,7.85333333333
48,LP001268,1,0,1,-1,1.0,1,-0.036320855615
49,LP001270,1,3,-1,1,1.0,0,15.4010695187
50,LP001284,1,1,1,-1,1.0,1,7.02290322581
51,LP001287,1,3,-1,-1,1.0,0,10.5
52,LP001291,1,1,1,-1,1.0,0,7.875
53,LP001298,1,2,1,-1,1.0,1,24.696
54,LP001312,1,0,-1,1,1.0,1,20.7117391304
55,LP001313,1,0,1,-1,0.0,1,7.61538461538
56,LP001317,-1,0,-1,-1,1.0,-1,12.1901538462
57,LP001321,1,2,1,-1,1.0,0,4.85328358209
58,LP001323,-1,2,1,-1,0.0,0,5.68431818182
59,LP001324,1,3,1,-1,1.0,0,9.44
60,LP001332,1,0,-1,-1,1.0,0,7.90363636364
61,LP001335,1,0,1,1,1.0,1,20.20608
62,LP001338,-1,2,1,-1,1.0,0,9.46285714286
63,LP001347,-1,0,1,-1,0.0,-1,7.00333333333
64,LP001348,1,3,-1,-1,1.0,1,12.9312
65,LP001351,1,0,1,-1,1.0,0,7.60956521739
66,LP001352,1,0,-1,-1,0.0,0,12.5333333333
67,LP001358,1,0,1,-1,0.0,0,9.54
68,LP001359,1,0,1,-1,1.0,0,14.7580748663
69,LP001361,1,0,1,-1,0.0,-1,4.70680851064
70,LP001366,-1,-1,1,-1,1.0,0,12.3157894737
71,LP001368,1,0,1,-1,1.0,0,24.7181538462
72,LP001375,1,1,1,-1,1.0,1,1.76244604317
73,LP001380,1,0,1,1,1.0,-1,6.05172413793
74,LP001386,1,0,-1,-1,1.0,0,11.875
75,LP001400,1,0,1,-1,1.0,1,8.32180645161
76,LP001407,1,0,1,-1,1.0,1,6.17225806452
77,LP001413,1,0,1,1,1.0,-1,45.7632
78,LP001415,1,1,1,-1,1.0,0,-1228.68
79,LP001419,-1,0,1,-1,1.0,1,15.4702702703
80,LP001420,1,3,1,-1,0.0,1,8.45668711656
81,LP001428,1,3,1,-1,1.0,1,72.529
82,LP001445,1,2,-1,-1,0.0,-1,13.3240268456
83,LP001446,1,0,1,-1,1.0,-1,11.8351750973
84,LP001450,1,0,1,-1,0.0,0,6.1227480916
85,LP001452,1,2,1,-1,1.0,-1,8.17941176471
86,LP001455,1,0,1,-1,1.0,1,9.52266666667
87,LP001466,1,0,1,-1,1.0,0,11.6185263158
88,LP001471,1,2,-1,-1,1.0,0,15.1246753247
89,LP001472,-1,0,1,-1,1.0,-1,9.1044
90,LP001475,1,0,1,1,-1.0,-1,8.82830769231
91,LP001483,1,3,1,-1,1.0,-1,12.4781538462
92,LP001486,1,1,1,-1,1.0,0,8.49210810811
93,LP001490,1,2,-1,-1,1.0,0,17.1576
94,LP001496,1,1,1,-1,0.0,0,13.4897560976
95,LP001499,-1,3,1,-1,1.0,0,20.4872727273
96,LP001500,1,1,1,-1,1.0,1,4.68703125
97,LP001501,1,0,1,-1,1.0,0,9.0
98,LP001517,1,3,1,-1,1.0,1,57.3580327869
99,LP001527,1,3,1,-1,-1.0,0,13.0882978723
100,LP001534,1,0,1,-1,1.0,-1,12.2345038168
101,LP001542,-1,0,1,-1,0.0,0,-1085.76
102,LP001547,1,1,1,-1,1.0,1,12.1065517241
103,LP001548,1,2,-1,-1,1.0,-1,9.6732
104,LP001558,1,0,1,-1,-1.0,0,7.54654205607
105,LP001561,-1,0,1,-1,1.0,0,6.1506
106,LP001563,1,0,1,-1,0.0,1,4.82823529412
107,LP001567,1,3,1,-1,1.0,-1,13.539
108,LP001568,1,0,1,-1,1.0,0,11.5714285714
109,LP001573,1,0,-1,-1,1.0,1,9.86836363636
110,LP001584,-1,0,1,1,1.0,0,15.8066666667
111,LP001587,1,-1,1,-1,1.0,0,15.8012903226
112,LP001589,-1,0,1,-1,1.0,1,12.06
113,LP001591,-1,2,1,-1,1.0,0,8.62229508197
114,LP001599,1,0,1,-1,1.0,-1,9.37575
115,LP001601,1,3,1,-1,-1.0,0,9.72917197452
116,LP001607,-1,0,-1,-1,1.0,0,0.0
117,LP001611,1,1,1,-1,0.0,-1,-0.01895
118,LP001613,-1,0,1,-1,0.0,1,6.09923076923
119,LP001622,1,2,1,-1,0.0,-1,1.22366197183
120,LP001627,1,0,1,-1,1.0,1,17.3076923077
121,LP001650,1,0,1,-1,1.0,-1,5.75260273973
122,LP001651,1,3,1,-1,1.0,1,8.93333333333
123,LP001652,1,0,1,-1,0.0,-1,4.8128342246
124,LP001655,-1,0,1,-1,0.0,1,15.0
125,LP001660,1,0,1,-1,1.0,0,14.001
126,LP001662,1,0,1,-1,0.0,1,32.9577464789
