iter	RMSE
0	197.3151939
1	188.0552001
2	180.2227367
3	173.7536494
4	167.743574
5	162.8371025
6	158.7249807
7	149.779447
8	146.5929316
9	144.1209585
10	141.8551918
11	140.0395533
12	138.4425413
13	137.1200286
14	136.1325852
15	135.1601912
16	129.3275649
17	128.6322476
18	128.0495265
19	123.3360191
20	122.9950733
21	122.7071391
22	122.3572478
23	121.481702
24	121.2313431
25	117.1232768
26	116.5009656
27	116.217971
28	116.1001447
29	115.9586026
30	115.8548163
31	115.7906761
32	115.6618836
33	111.8400096
34	108.9777095
35	108.7783547
36	108.625992
37	108.4459418
38	108.3215297
39	108.3168381
40	108.227568
41	108.2244858
42	108.1045595
43	108.0531427
44	107.9928293
45	105.4290829
46	105.3560384
47	105.3293582
48	105.3195364
49	104.898795
